Id,country,total_cases,total_death,new_deaths,total_recovered,active_cases,serious_critical,total_cases_per_million,deaths_per_million,total_tests,tests_per_million,population,continent,year
153,Andorra,46227,155,0,46011,61,14,596762,2001,249838,3225256,77463,Europe,2019
154,Curaçao,45127,282,0,44720,125,3,272623,1704,496693,3000640,165529,North America,2019
155,Papua New Guinea,44997,668,0,43982,347,7,4842,72,249149,26813,9292169,Australia/Oceania,2019
156,Aruba,42914,227,0,42438,249,2,398796,2109,177885,1653068,107609,North America,2019
157,Mauritius,40461,1024,0,38786,651,0,31741,803,358675,281374,1274727,Africa,2019
158,Mayotte,40243,187,0,0,0,0,140582,653,176919,618038,286259,Africa,2019
159,Tanzania,39440,845,0,0,0,7,623,13,0,0,63298550,Africa,2019
160,Togo,39034,285,0,38528,221,0,4497,33,791865,91220,8680837,Africa,2019
161,Isle of Man,38008,116,0,0,0,0,443335,1353,150753,1758422,85732,Europe,2019
162,Guinea,37652,449,0,36880,323,8,2715,32,660107,47607,13865691,Africa,2019
163,Bahamas,37267,833,0,36070,364,2,93047,2080,248846,621314,400516,North America,2019
164,Faeroe Islands,34658,28,0,0,0,5,703959,569,778000,15802409,49233,Europe,2019
165,Lesotho,34490,706,0,25980,7804,0,15852,324,431221,198199,2175699,Africa,2019
166,Haiti,33733,857,0,31307,1569,0,2888,73,132422,11337,11680283,North America,2019
167,Mali,32625,742,0,31591,292,0,1519,35,759178,35354,21473764,Africa,2019
168,Cayman Islands,30661,32,0,8553,22076,1,455743,476,222773,3311280,67277,North America,2019
169,Saint Lucia,29408,391,0,28475,542,0,158865,2112,210354,1136355,185113,North America,2019
170,Benin,27638,163,0,27322,153,5,2162,13,604310,47268,12784726,Africa,2019
171,Somalia,27214,1352,0,13182,12680,0,1616,80,400466,23778,16841795,Africa,2019
172,Congo,24837,386,0,24006,445,0,4284,67,347815,59991,5797805,Africa,2019
173,Timor-Leste,23253,138,0,23102,13,0,16980,101,278529,203391,1369429,Asia,2019
174,Burkina Faso,21631,387,0,21143,101,0,979,18,248995,11265,22102838,Africa,2019
175,Solomon Islands,21544,153,0,16357,5034,1,29874,212,5117,7096,721159,Australia/Oceania,2019
176,San Marino,20763,118,0,20524,121,4,609154,3462,157634,4624732,34085,Europe,2019
177,Gibraltar,20092,108,0,16579,3405,0,596131,3204,534283,15852213,33704,Europe,2019
178,Liechtenstein,19713,86,0,19403,224,2,513533,2240,102174,2661682,38387,Europe,2019
179,Grenada,19536,237,0,19248,51,4,172161,2089,179808,1584560,113475,North America,2019
180,Nicaragua,18491,225,0,4225,14041,0,2728,33,0,0,6779100,North America,2019
181,Bermuda,18154,148,0,17969,37,0,293095,2389,1006083,16243126,61939,North America,2019
182,South Sudan,17823,138,0,17335,350,1,1534,12,410280,35313,11618511,Africa,2019
183,Tajikistan,17786,125,0,17264,397,0,1786,13,0,0,9957464,Asia,2019
184,Equatorial Guinea,17012,183,0,16690,139,5,11367,122,365697,244342,1496662,Africa,2019
185,Tonga,16182,12,0,15638,532,0,150182,111,535009,4965327,107749,Australia/Oceania,2019
186,Samoa,15925,29,0,1605,14291,4,78743,143,187397,926612,202239,Australia/Oceania,2019
187,Dominica,15747,74,0,15651,22,0,217668,1023,228799,3162653,72344,North America,2019
188,Djibouti,15690,189,0,15427,74,0,15441,186,305941,301094,1016097,Africa,2019
189,Marshall Islands,15275,17,0,15166,92,22,254342,283,0,0,60057,Australia/Oceania,2019
190,CAR,14913,113,0,14520,280,2,2973,23,81294,16205,5016678,Africa,2019
191,Monaco,14608,63,0,14478,67,4,367192,1584,78646,1976875,39783,Europe,2019
192,Gambia,12508,372,0,12028,108,0,4889,145,155686,60851,2558482,Africa,2019
193,Saint Martin,11978,63,0,1399,10516,7,301485,1586,112382,2828643,39730,North America,2019
194,Greenland,11971,21,0,2761,9189,4,210117,369,164926,2894810,56973,North America,2019
195,Yemen,11935,2157,0,9124,654,23,383,69,329592,10579,31154867,Asia,2019
196,Vanuatu,11930,14,0,11894,22,0,37069,44,24976,77606,321832,Australia/Oceania,2019
197,Caribbean Netherlands,11235,36,0,10476,723,0,421623,1351,30126,1130559,26647,North America,2019
198,Sint Maarten,10863,87,0,10773,3,10,247077,1979,62056,1411454,43966,North America,2019
199,Eritrea,10169,103,0,10063,3,0,2777,28,23693,6470,3662244,Africa,2019
200,Niger,9931,312,0,8890,729,1,381,12,254538,9759,26083660,Africa,2019
201,Micronesia,9759,29,0,157,9573,1,83063,247,21923,186596,117489,Australia/Oceania,2019
202,Antigua and Barbuda,9098,146,0,8923,29,1,91429,1467,18901,189943,99509,North America,2019
203,Guinea-Bissau,8796,175,0,8301,320,6,4263,85,145231,70385,2063367,Africa,2019
204,Comoros,8471,161,0,8305,5,0,9335,177,0,0,907419,Africa,2019
205,Liberia,7961,294,0,7636,31,2,1501,55,139824,26356,5305117,Africa,2019
206,Sierra Leone,7751,126,0,0,0,0,933,15,259958,31296,8306436,Africa,2019
207,Chad,7583,193,0,4874,2516,0,435,11,191341,10988,17413580,Africa,2019
208,British Virgin Islands,7305,64,0,0,0,0,238757,2092,107339,3508269,30596,North America,2019
209,St. Vincent Grenadines,7112,115,0,6641,356,0,63756,1031,100856,904125,111551,North America,2019
210,Saint Kitts and Nevis,6541,46,0,6482,13,0,121420,854,124861,2317778,53871,North America,2019
211,Cook Islands,6389,1,0,6384,4,0,363610,57,19690,1120596,17571,Australia/Oceania,2019
212,Turks and Caicos,6380,36,0,6321,23,4,160539,906,550093,13841952,39741,North America,2019
213,Sao Tome and Principe,6230,77,0,6132,21,0,27363,338,29036,127530,227679,Africa,2019
214,Palau,5460,6,0,5444,10,1,299457,329,64681,3547469,18233,Australia/Oceania,2019
215,St. Barth,5285,6,0,0,0,0,531423,603,78646,7908095,9945,North America,2019
216,Nauru,4611,1,0,4605,5,0,422911,92,20509,1881042,10903,Australia/Oceania,2019
217,Anguilla,3865,12,0,3848,5,4,253775,788,51382,3373736,15230,North America,2019
218,Kiribati,3430,13,0,2703,714,3,27792,105,0,0,123419,Australia/Oceania,2019
219,Saint Pierre Miquelon,3188,1,0,2449,738,1,553568,174,24902,4324015,5759,North America,2019
220,Falkland Islands,1886,0,0,1886,0,0,532919,0,8632,2439107,3539,South America,2019
221,Montserrat,1396,8,0,1353,35,0,281168,1611,17579,3540584,4965,North America,2019
222,Saint Helena,1355,0,0,2,1353,0,221586,0,0,0,6115,Africa,2019
223,Macao,793,6,0,787,0,0,1188,9,7850,11760,667490,Asia,2019
224,Wallis and Futuna,761,7,0,438,316,0,69295,637,20508,1867419,10982,Australia/Oceania,2019
226,Niue,80,0,0,80,0,0,49322,0,0,0,1622,Australia/Oceania,2019
227,Vatican City,29,0,0,29,0,0,36295,0,0,0,799,Europe,2019
228,Tuvalu,20,0,0,0,20,0,1658,0,0,0,12066,Australia/Oceania,2019
229,Western Sahara,10,1,0,9,0,0,16,2,0,0,626161,Africa,2019
