Id,country,total_cases,total_death,new_deaths,total_recovered,active_cases,serious_critical,total_cases_per_million,deaths_per_million,total_tests,tests_per_million,population,continent,year
162,Bahamas,37491,833,0,36366,292,1,93607,2080,257839,643767,400516,North America,2022
163,Faeroe Islands,34658,28,0,5,0,703959,569,778000,15802409,0,49233,Europe,2022
164,Lesotho,34490,706,0,25980,7804,15852,324,431221,198199,0,2175699,Africa,2022
165,Haiti,33862,860,0,32897,105,2899,74,132422,11337,0,11680283,North America,2022
166,Mali,32762,742,0,31943,77,1526,35,779287,36290,0,21473764,Africa,2022
167,Cayman Islands,31359,36,0,8553,22770,1,466118,535,222773,3311280,67277,North America,2022
168,Saint Lucia,29550,404,0,29095,51,159632,2182,210983,1139752,0,185113,North America,2022
169,Benin,27980,163,0,27746,71,5,2189,13,604310,47268,12784726,Africa,2022
170,Somalia,27300,1361,0,13182,12757,1621,81,400466,23778,0,16841795,Africa,2022
171,Congo,25375,386,0,24006,983,4377,67,347815,59991,0,5797805,Africa,2022
172,Solomon Islands,24575,153,0,1,0,34077,212,0,0,0,721159,Australia/Oceania,2022
173,Timor-Leste,23360,138,0,23102,120,17058,101,278529,203391,0,1369429,Asia,2022
174,San Marino,22406,119,0,22031,256,4,657357,3491,157634,4624732,34085,Europe,2022
175,Micronesia,22203,55,0,1,0,188979,468,21923,186596,0,117489,Australia/Oceania,2022
176,Burkina Faso,21631,387,0,21143,101,979,18,248995,11265,0,22102838,Africa,2022
177,Liechtenstein,21049,88,0,20843,118,548337,2292,112457,2929559,0,38387,Europe,2022
178,Gibraltar,20207,110,0,16579,3518,599543,3264,534283,15852213,0,33704,Europe,2022
179,Grenada,19613,237,0,19358,18,4,172840,2089,182981,1612523,113475,North America,2022
180,Bermuda,18519,152,0,18343,24,298988,2454,1019654,16462229,0,61939,North America,2022
181,Nicaragua,18491,225,0,4225,14041,2728,33,0,0,0,6779100,North America,2022
182,South Sudan,18352,138,0,18115,99,1,1580,12,410280,35313,11618511,Africa,2022
183,Tajikistan,17786,125,0,17264,397,1786,13,0,0,0,9957464,Asia,2022
184,Equatorial Guinea,17184,183,0,16880,121,5,11482,122,365697,244342,1496662,Africa,2022
185,Tonga,16182,12,0,15638,532,150182,111,535009,4965327,0,107749,Australia/Oceania,2022
186,Samoa,15967,29,0,1605,14333,4,78951,143,187397,926612,202239,Australia/Oceania,2022
187,Dominica,15760,74,0,15673,13,217848,1023,229344,3170187,0,72344,North America,2022
188,Djibouti,15690,189,0,15427,74,15441,186,305941,301094,0,1016097,Africa,2022
189,Monaco,15674,63,0,15441,170,4,393987,1584,78646,1976875,39783,Europe,2022
190,Marshall Islands,15547,17,0,15390,140,22,258871,283,0,0,60057,Australia/Oceania,2022
191,CAR,15311,113,0,14615,583,2,3052,23,81294,16205,5016678,Africa,2022
192,Gambia,12586,372,0,12189,25,4919,145,155686,60851,0,2558482,Africa,2022
193,Saint Martin,12058,63,0,1399,10596,7,303499,1586,112382,2828643,39730,North America,2022
194,Greenland,11971,21,0,2761,9189,4,210117,369,164926,2894810,56973,North America,2022
195,Vanuatu,11952,14,0,11937,1,37137,44,24976,77606,0,321832,Australia/Oceania,2022
196,Yemen,11945,2159,0,9124,662,23,383,69,329592,10579,31154867,Asia,2022
197,Caribbean Netherlands,11426,36,0,10476,914,428791,1351,30126,1130559,0,26647,North America,2022
198,Sint Maarten,10964,89,0,10873,2,249375,2024,62056,1411454,0,43966,North America,2022
199,Eritrea,10189,103,0,10086,0,2782,28,23693,6470,0,3662244,Africa,2022
200,Niger,9931,312,0,8890,729,1,381,12,254538,9759,26083660,Africa,2022
201,Antigua and Barbuda,9106,146,0,8954,6,1,91509,1467,18901,189943,99509,North America,2022
202,Comoros,8977,161,0,8799,17,9893,177,0,0,0,907419,Africa,2022
203,Guinea-Bissau,8848,176,0,8642,30,6,4288,85,145231,70385,2063367,Africa,2022
204,Liberia,8035,294,0,7720,21,2,1515,55,139824,26356,5305117,Africa,2022
205,Sierra Leone,7760,126,0,934,0,15,259958,31296,0,0,8306436,Africa,2022
206,Chad,7647,194,0,4874,2579,439,11,191341,10988,0,17413580,Africa,2022
207,British Virgin Islands,7305,64,0,238757,0,2092,107339,3508269,0,0,30596,North America,2022
208,St. Vincent Grenadines,7112,115,0,6641,356,63756,1031,100856,904125,0,111551,North America,2022
209,Saint Kitts and Nevis,6552,46,0,6482,24,121624,854,124861,2317778,0,53871,North America,2022
210,Turks and Caicos,6446,36,0,6392,18,4,162200,906,550241,13845676,39741,North America,2022
211,Cook Islands,6389,1,0,6384,4,363610,57,19690,1120596,0,17571,Australia/Oceania,2022
212,Sao Tome and Principe,6279,77,0,6201,1,27578,338,29036,127530,0,227679,Africa,2022
213,Palau,5896,7,0,5699,190,1,323370,384,67675,3711677,18233,Australia/Oceania,2022
214,St. Barth,5348,6,0,537758,0,603,78646,7908095,0,0,9945,North America,2022
215,Nauru,4621,1,0,4609,11,423828,92,20509,1881042,0,10903,Australia/Oceania,2022
216,Anguilla,3904,12,0,3879,13,4,256336,788,51382,3373736,15230,North America,2022
217,Kiribati,3430,13,0,2703,714,3,27792,105,0,0,123419,Australia/Oceania,2022
218,Saint Pierre Miquelon,3306,2,0,2449,855,1,574058,347,25300,4393124,5759,North America,2022
219,Tuvalu,2805,0,0,232471,2805,0,0,0,0,0,12066,Australia/Oceania,2022
220,Falkland Islands,1930,0,0,1930,0,545352,8632,2439107,0,0,3539,South America,2022
221,Saint Helena,1806,0,0,2,1804,295339,0,0,0,0,6115,Africa,2022
222,Montserrat,1403,8,0,1376,19,282578,1611,17762,3577442,0,4965,North America,2022
223,Macao,851,6,0,791,54,1275,9,7850,11760,0,667490,Asia,2022
224,Wallis and Futuna,761,7,0,438,316,69295,637,20508,1867419,0,10982,Australia/Oceania,2022
